env_name,seed,problem,n_candidates,method,selected_index,uses_truth,validation_gate_method,selected_true_return,regret_to_candidate_oracle,candidate_oracle_return,regret_to_full_pool_oracle,full_pool_oracle_return,selected_pred_mean,selected_pred_std,sample_over_mean,selected_action_ood_mass,selected_is_cem,calibration_beta
InvertedPendulum-v5,0,0,8,random,1,False,,3.0,6.0,9.0,17.0,20.0,-87056.97440773489,3284.691239326878,7245.623293369208,1.0,0.0,4.0
InvertedPendulum-v5,0,0,8,oracle,6,True,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,mean_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,posterior_sample_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,thompson_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,ucb_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,pessimistic_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,quantile_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,calibrated_pessimistic_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,validation_gated_bon,6,False,calibrated_pessimistic_bon,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,8,cem_mean_mpc,-1,False,,7.0,2.0,9.0,13.0,20.0,-209.29807037058097,187.86927328196003,127.40008833074457,0.45,1.0,4.0
InvertedPendulum-v5,0,0,32,random,4,False,,1.0,8.0,9.0,19.0,20.0,-177344.9728496502,7250.358155698364,4376.078336380597,1.0,0.0,4.0
InvertedPendulum-v5,0,0,32,oracle,6,True,,9.0,0.0,9.0,11.0,20.0,-53058.01283508429,3513.292183698919,9.542162149897194,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,mean_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,posterior_sample_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,thompson_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,ucb_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,pessimistic_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,quantile_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,calibrated_pessimistic_bon,17,False,,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
InvertedPendulum-v5,0,0,32,validation_gated_bon,17,False,calibrated_pessimistic_bon,8.0,1.0,9.0,12.0,20.0,-5428.6730993485235,1580.3100601655258,340.82394947661487,0.0,0.0,4.0
